datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2022-01-10,41870.0,18925464,792409210965.4341,460528444629.8676,0.4188249729343991,7366856.872306813,968910.0,23.0,Extreme Fear,19196.0,139229658.6
2022-01-11,42746.0,18926452,809030129800.8286,460478645526.5764,0.43082633320474784,5438314.924000208,964368.0,21.0,Extreme Fear,19196.0,140734891.5
2022-01-12,44010.0,18927321,832991399189.1719,460853034804.68005,0.4467493478885001,9053038.54348896,972780.0,22.0,Extreme Fear,19196.0,144009568.5
2022-01-13,42672.0,18928439,807714382931.0007,460570776482.13214,0.42978509951645055,4045161.2754598656,948196.0,21.0,Extreme Fear,19374.0,145882194.9
2022-01-14,43121.0,18929433,816256103892.6927,460578389066.19135,0.43574279338345967,4527208.9837395055,991166.0,21.0,Extreme Fear,19374.0,143456964.6
2022-01-15,43140.0,18930471,816660520880.0472,460629909545.962,0.4359591314031204,2419054.991116891,830710.0,23.0,Extreme Fear,19374.0,144210859.2
2022-01-16,43150.0,18931564,816897020902.997,460709805697.8764,0.43602462255449487,2975662.861180136,775715.0,21.0,Extreme Fear,19374.0,143954485.6
2022-01-17,42357.0,18932571,801926911751.835,460337143648.9021,0.42596122302058564,6544484.72357071,971298.0,22.0,Extreme Fear,19374.0,141680362.5
2022-01-18,42317.0,18933421,801205578360.0361,460218558354.29504,0.4255924187443843,5890842.875155721,916972.0,24.0,Extreme Fear,19374.0,139740273.4
2022-01-19,41752.0,18934502,790553339819.6274,459538919709.9271,0.41871231634442846,9868399.833281444,950211.0,24.0,Extreme Fear,19374.0,140015619.4
2022-01-20,40706.0,18935558,770790846131.5879,458980112588.19464,0.4045335191878518,9454031.902564934,958117.0,24.0,Extreme Fear,19489.0,140248519.9
2022-01-21,36643.0,18936396,693886360275.8708,456306402297.5486,0.34239029844003094,10200647.58634378,1033192.0,19.0,Extreme Fear,19489.0,129318047.4
2022-01-22,35244.0,18937233,667423859058.9565,455443838154.79224,0.31760929434414953,9120306.896136785,997611.0,13.0,Extreme Fear,19489.0,119168293.8
2022-01-23,36311.0,18938114,687661886320.1906,455458858823.9159,0.33767034659843836,9435165.188443756,767043.0,11.0,Extreme Fear,19489.0,119048204.5
2022-01-24,36463.0,18939052,690574663831.5261,454941514182.46545,0.3412131402876752,10265886.173914429,976712.0,13.0,Extreme Fear,19489.0,118598190.5
2022-01-25,36935.0,18940002,699548984764.7524,454905777149.4757,0.34971562098334896,12435410.898333555,897415.0,12.0,Extreme Fear,19489.0,122791563.7
2022-01-26,37068.0,18940814,702098122819.9835,454599485013.618,0.3525128892415849,4926688.556139917,885174.0,23.0,Extreme Fear,19489.0,127211977.0
2022-01-27,37367.0,18941633,707792020674.9298,454366208999.68024,0.35805124142765854,10199699.944430124,912466.0,20.0,Extreme Fear,19873.0,122812071.9
2022-01-28,38005.0,18942596,719913362689.1213,453852142262.133,0.3695739434994777,5489870.590753875,955985.0,24.0,Extreme Fear,19873.0,124897532.7
2022-01-29,38254.0,18943527,724665693141.8191,453193999649.7588,0.3746164556446479,7617382.277435129,832876.0,24.0,Extreme Fear,19873.0,127164239.3
2022-01-30,37836.0,18944439,716781824082.5212,452790431906.0734,0.3683009017623404,4959828.742571932,783141.0,29.0,Fear,19873.0,128140050.2
2022-01-31,38516.0,18945333,729698466818.1014,452781300301.98456,0.3794953382917639,4814260.518280522,999812.0,20.0,Extreme Fear,19873.0,126470786.8
2022-02-01,38718.0,18946296,733562690269.1855,455248270711.81146,0.3794010017811086,198733541.1453364,1063484.0,26.0,Fear,19873.0,131026617.8
2022-02-02,37052.0,18947252,702033592033.264,454842063639.2883,0.35210783529324785,3931263.2663815534,981122.0,28.0,Fear,19873.0,130682973.4
2022-02-03,37302.0,18948171,706804676319.5067,454697022950.7038,0.3566864535780734,6129861.1543829935,937908.0,20.0,Extreme Fear,20369.0,125816203.5
2022-02-04,41633.0,18948983,788903031927.776,455704833292.01086,0.42235634184540616,3911177.819750489,890327.0,20.0,Extreme Fear,20369.0,129797973.1
2022-02-05,41494.0,18949727,786299984377.525,455824297533.3812,0.4202921193057954,3764256.093577953,961339.0,33.0,Fear,20369.0,142054242.7
2022-02-06,42353.0,18950702,802619094298.905,456033510337.64435,0.43181826400978696,4846969.169349861,913200.0,37.0,Fear,20369.0,142856858.9
2022-02-07,43978.0,18951552,833451366828.2329,456755480575.4747,0.451971046236693,8281150.80378946,933433.0,45.0,Fear,20369.0,147340663.3
2022-02-08,44166.0,18952514,837056768434.6874,457170083408.97504,0.45383622634831317,6892402.895441555,1024351.0,48.0,Neutral,20369.0,151522272.0
2022-02-09,44422.0,18953389,841947481472.2,457472690807.0069,0.45664937436823716,6243736.772193228,1005608.0,54.0,Neutral,20369.0,151453508.3
2022-02-10,43334.0,18954308,821366006487.7716,457651356269.4688,0.4428167800291328,11973093.162554964,1029618.0,50.0,Neutral,20472.0,152345381.9
2022-02-11,42437.0,18955196,804401654560.4326,457800983864.4174,0.4308801066370457,8564297.29617328,984285.0,50.0,Neutral,20472.0,149415494.9
2022-02-12,42283.0,18956364,801531972625.7571,458005328405.9624,0.42858757473445236,3247963.8208925542,1088876.0,44.0,Fear,20472.0,145994019.9
2022-02-13,42172.0,18957352,799469460983.5153,458053565385.8582,0.42705307989831637,3457476.500798263,827179.0,44.0,Fear,20472.0,146530489.3
2022-02-14,42616.0,18958308,807927276952.4824,458107192939.8432,0.4329846187792637,4326670.93054483,904274.0,46.0,Fear,20472.0,146002296.0
2022-02-15,44444.0,18959402,842631675597.6893,458807799578.9495,0.45550610917455564,6429299.650512575,1022492.0,46.0,Fear,20472.0,152388301.4
2022-02-16,43937.0,18960377,833062097209.139,458915138345.5608,0.44912253254231205,4400840.913760041,930742.0,51.0,Neutral,20472.0,152165581.7
2022-02-17,40570.0,18961358,769262316169.4718,458200015021.9582,0.40436440809481333,8996941.34998936,938318.0,52.0,Neutral,20480.0,149421442.1
2022-02-18,40056.0,18962196,759549724777.3568,457926955057.3735,0.39710733857272684,4985995.830299766,950176.0,30.0,Fear,20480.0,140249068.5
2022-02-19,40180.0,18963127,761938454711.9331,457928182613.90326,0.39899583781076825,2669688.486094329,859806.0,25.0,Extreme Fear,20480.0,139079482.7
2022-02-20,38433.0,18964027,728844461027.6189,457646929603.59375,0.37209246406518054,6444190.387573958,745783.0,27.0,Fear,20480.0,133286493.6
2022-02-21,37107.0,18964796,703726686840.7374,457111841273.3935,0.3504412297826587,15036176.408658674,882870.0,25.0,Extreme Fear,20480.0,134531100.4
2022-02-22,38335.0,18965746,727051874633.9617,457148437115.0737,0.3712299588729791,4990996.730536534,909069.0,20.0,Extreme Fear,20480.0,130861608.6
2022-02-23,37397.0,18966683,709297064531.2789,457016316439.26715,0.35567713544497065,13046689.10536477,863870.0,25.0,Extreme Fear,20480.0,132133312.6
