"DateTime","BTC price","Google Trends"
"2011-09-27 00:00:00",4.9111577925,14
"2011-09-28 00:00:00",4.7634153214,14
"2011-09-29 00:00:00",4.7776609784,15
"2011-09-30 00:00:00",5.14368591,16
"2011-10-01 00:00:00",5.0340705447,15
"2011-10-02 00:00:00",5.0070625967,15
"2011-10-03 00:00:00",5.0228448603,13
"2011-10-04 00:00:00",4.9568056207,15
"2011-10-05 00:00:00",4.8850671309,14
"2011-10-06 00:00:00",4.7301662957,15
"2011-10-07 00:00:00",4.2760357569,14
"2011-10-08 00:00:00",3.9812529942,16
"2011-10-09 00:00:00",4.1116346435,18
"2011-10-10 00:00:00",4.0749624839,15
"2011-10-11 00:00:00",4.0089244959,13
"2011-10-12 00:00:00",4.1662353425,15
"2011-10-13 00:00:00",4.03698109,14
"2011-10-14 00:00:00",3.9862808854,10
"2011-10-15 00:00:00",3.8373385605,12
"2011-10-16 00:00:00",3.6097417165,12
"2011-10-17 00:00:00",2.5812467218,13
"2011-10-18 00:00:00",2.4222747382,19
"2011-10-19 00:00:00",2.217254713,18
"2011-10-20 00:00:00",2.3561235085,14
"2011-10-21 00:00:00",2.5700923051,11
"2011-10-22 00:00:00",3.1554861385,13
"2011-10-23 00:00:00",3.1477509299,11
"2011-10-24 00:00:00",2.5229359977,12
"2011-10-25 00:00:00",2.8019238311,12
"2011-10-26 00:00:00",2.777505239,12
"2011-10-27 00:00:00",3.0454078276,10
"2011-10-28 00:00:00",3.1796394366,9
"2011-10-29 00:00:00",3.5691889687,9
"2011-10-30 00:00:00",3.257403723,10
"2011-10-31 00:00:00",3.2650982127,10
"2011-11-01 00:00:00",3.1710077428,20
"2011-11-02 00:00:00",3.2558005666,11
"2011-11-03 00:00:00",3.1683163852,10
"2011-11-04 00:00:00",3.1201181718,9
"2011-11-05 00:00:00",2.9778175979,9
"2011-11-06 00:00:00",2.9627205769,10
"2011-11-07 00:00:00",3.0177576873,9
"2011-11-08 00:00:00",3.056567111,9
"2011-11-09 00:00:00",2.9195672238,9
"2011-11-10 00:00:00",2.8567020853,8
"2011-11-11 00:00:00",3.0678617335,9
"2011-11-12 00:00:00",3.0255229959,7
